Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
12-1-205_R1	12-1-205_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7210324.0	1 Gbp	0.0	151.0	47.0	79.7115819101256	151.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	
12-1-205_R2	12-1-205_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7210324.0	1 Gbp	0.0	151.0	47.0	83.3265381555879	151.0	pass	fail	pass	pass	warn	pass	pass	pass	warn	pass	
AG0004_R1	AG0004_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12555053.0	1.8 Gbp	0.0	150.0	50.0	79.4939509872247	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
AG0004_R2	AG0004_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12555053.0	1.8 Gbp	0.0	150.0	50.0	81.33353220637444	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
B2_R1	B2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7996502.0	1.9 Gbp	0.0	250.0	50.0	89.10470291599724	250.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	fail	pass
B2_R2	B2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7996502.0	1.9 Gbp	0.0	250.0	51.0	89.73304752779698	250.0	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail	pass
B51_R1	B51_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7090633.0	1.7 Gbp	0.0	250.0	50.0	92.01244412938867	250.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	fail	pass
B51_R2	B51_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7090633.0	1.7 Gbp	0.0	250.0	50.0	92.43140580571301	250.0	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail	pass
BF0072_R1	BF0072_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10064793.0	1.5 Gbp	0.0	151.0	49.0	78.21696048990847	151.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
BF0072_R2	BF0072_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10064793.0	1.5 Gbp	0.0	151.0	49.0	81.21998746056823	151.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	warn
BN0019_R1	BN0019_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11867043.0	1.7 Gbp	0.0	151.0	49.0	77.37286378651463	151.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
BN0019_R2	BN0019_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11867043.0	1.7 Gbp	0.0	151.0	49.0	80.57104266110505	151.0	pass	warn	pass	pass	warn	pass	pass	pass	warn	pass	warn
BN0119_R1	BN0119_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6622291.0	999.9 Mbp	0.0	151.0	50.0	83.01147917009705	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	warn
BN0119_R2	BN0119_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6622291.0	999.9 Mbp	0.0	151.0	50.0	80.35316595689575	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
BN0123_R1	BN0123_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7919624.0	1.1 Gbp	0.0	151.0	50.0	80.3460499599697	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
BN0123_R2	BN0123_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7919624.0	1.1 Gbp	0.0	151.0	50.0	82.61956122312147	151.0	pass	warn	pass	pass	warn	pass	pass	pass	pass	pass	warn
BN0202_R1	BN0202_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8606161.0	1.2 Gbp	0.0	151.0	50.0	79.27087528557115	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
BN0202_R2	BN0202_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8606161.0	1.2 Gbp	0.0	151.0	50.0	82.20441616327871	151.0	pass	warn	pass	pass	warn	pass	pass	pass	pass	pass	warn
BN0252_R1	BN0252_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10841812.0	1.6 Gbp	0.0	151.0	50.0	78.25355778888554	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
BN0252_R2	BN0252_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10841812.0	1.6 Gbp	0.0	151.0	50.0	80.69936045036015	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	warn
Br62_R1	Br62_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12290260.0	1.2 Gbp	0.0	35-100	50.0	95.04752966000585	98.95864025659343	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass
Br62_R2	Br62_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12290260.0	1.1 Gbp	0.0	35-100	51.0	95.66764821913857	97.37259341950455	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn
Br80_R1	Br80_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5898770.0	1.5 Gbp	0.0	35-300	49.0	79.31763617954354	255.55555344588788	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass	warn
Br80_R2	Br80_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5898770.0	1.5 Gbp	0.0	35-300	49.0	82.25008462001936	261.23363480861263	pass	fail	pass	fail	warn	warn	warn	pass	pass	pass	fail
CD0065_R1	CD0065_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9942599.0	1.5 Gbp	0.0	151.0	50.0	76.33708742522566	151.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
CD0065_R2	CD0065_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9942599.0	1.5 Gbp	0.0	151.0	50.0	79.54854451828383	151.0	pass	warn	pass	pass	warn	pass	pass	pass	warn	pass	warn
CD0142_R1	CD0142_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13576930.0	2 Gbp	0.0	151.0	50.0	76.23489670585387	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
CD0142_R2	CD0142_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13576930.0	2 Gbp	0.0	151.0	50.0	78.79624719671735	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	warn
CH0043_R1	CH0043_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14352311.0	2.1 Gbp	0.0	151.0	50.0	76.4124561249958	151.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
CH0043_R2	CH0043_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14352311.0	2.1 Gbp	0.0	151.0	50.0	79.51807547435902	151.0	pass	warn	pass	pass	warn	pass	pass	pass	warn	pass	warn
CH0072_R1	CH0072_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10607740.0	1.6 Gbp	0.0	151.0	50.0	78.74822869104536	151.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass
CH0072_R2	CH0072_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10607740.0	1.6 Gbp	0.0	151.0	50.0	81.19695701380279	151.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	warn
CH0452_R1	CH0452_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8063851.0	1.2 Gbp	0.0	151.0	50.0	81.65769917705504	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
CH0452_R2	CH0452_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8063851.0	1.2 Gbp	0.0	151.0	50.0	83.43681797816492	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	warn
CH0461_R1	CH0461_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13548398.0	2 Gbp	0.0	151.0	50.0	76.89074152426565	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
CH0461_R2	CH0461_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13548398.0	2 Gbp	0.0	151.0	50.0	80.56704264324314	151.0	pass	warn	pass	pass	warn	pass	pass	pass	pass	pass	warn
CH0533_R1	CH0533_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8374023.0	1.2 Gbp	0.0	151.0	50.0	81.96249861150852	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	warn
CH0533_R2	CH0533_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8374023.0	1.2 Gbp	0.0	151.0	50.0	79.70143497587458	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
CH1103_R1	CH1103_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7554411.0	1.1 Gbp	0.0	151.0	50.0	79.76238206788578	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
CH1103_R2	CH1103_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7554411.0	1.1 Gbp	0.0	151.0	50.0	82.29037905568704	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	warn
CH1164_R1	CH1164_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6329227.0	955.7 Mbp	0.0	151.0	50.0	82.31921504582135	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
CH1164_R2	CH1164_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6329227.0	955.7 Mbp	0.0	151.0	50.0	84.45539686161135	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	warn
CM0028_R1	CM0028_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19691203.0	2.9 Gbp	0.0	150.0	50.0	74.57329021520182	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
CM0028_R2	CM0028_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19691203.0	2.9 Gbp	0.0	150.0	50.0	77.96865806681413	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn
EI9411_R1	EI9411_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7737899.0	773.7 Mbp	0.0	100.0	49.0	86.89615533179739	100.0	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass	pass
EI9411_R2	EI9411_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7737899.0	773.7 Mbp	0.0	100.0	49.0	87.92573823755856	100.0	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass	warn
EI9604_R1	EI9604_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7128541.0	712.8 Mbp	0.0	100.0	48.0	88.14710395523835	100.0	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass	pass
EI9604_R2	EI9604_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7128541.0	712.8 Mbp	0.0	100.0	48.0	89.196556038636	100.0	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass	pass
FR1067_R1	FR1067_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15180583.0	2.2 Gbp	0.0	150.0	48.0	79.60291517778154	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
FR1067_R2	FR1067_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15180583.0	2.2 Gbp	0.0	150.0	48.0	81.90121718775039	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	warn
