Sample	Unique Reads	Duplicate Reads
12-1-205_R1	5747464.0	1462860.0
12-1-205_R2	6008114.0	1202210.0
AG0004_R1	9980508.0	2574545.0
AG0004_R2	10211469.0	2343584.0
B2_R1	7125260.0	871242.0
B2_R2	7175505.0	820997.0
B51_R1	6524265.0	566368.0
B51_R2	6553972.0	536661.0
BF0072_R1	7872376.0	2192417.0
BF0072_R2	8174624.0	1890169.0
BN0019_R1	9181872.0	2685171.0
BN0019_R2	9561401.0	2305642.0
BN0119_R1	5497262.0	1125029.0
BN0119_R2	5321221.0	1301070.0
BN0123_R1	6363106.0	1556518.0
BN0123_R2	6543159.0	1376465.0
BN0202_R1	6822180.0	1783981.0
BN0202_R2	7074645.0	1531516.0
BN0252_R1	8484104.0	2357708.0
BN0252_R2	8749273.0	2092539.0
Br62_R1	11681589.0	608671.0
Br62_R2	11757803.0	532457.0
Br80_R1	4678765.0	1220005.0
Br80_R2	4851744.0	1047026.0
CD0065_R1	7589891.0	2352708.0
CD0065_R2	7909193.0	2033406.0
CD0142_R1	10350359.0	3226571.0
CD0142_R2	10698112.0	2878818.0
CH0043_R1	10966954.0	3385357.0
CH0043_R2	11412682.0	2939629.0
CH0072_R1	8353408.0	2254332.0
CH0072_R2	8613163.0	1994577.0
CH0452_R1	6584756.0	1479095.0
CH0452_R2	6728221.0	1335630.0
CH0461_R1	10417464.0	3130934.0
CH0461_R2	10915544.0	2632854.0
CH0533_R1	6863559.0	1510464.0
CH0533_R2	6674217.0	1699806.0
CH1103_R1	6025579.0	1528832.0
CH1103_R2	6216554.0	1337857.0
CH1164_R1	5210170.0	1119057.0
CH1164_R2	5345374.0	983853.0
CM0028_R1	14684378.0	5006825.0
CM0028_R2	15352967.0	4338236.0
EI9411_R1	6723937.0	1013962.0
EI9411_R2	6803605.0	934294.0
EI9604_R1	6283603.0	844938.0
EI9604_R2	6358414.0	770127.0
FR1067_R1	12084187.0	3096396.0
FR1067_R2	12433083.0	2747500.0
FR1069_R1	13684138.0	3624161.0
FR1069_R2	14093718.0	3214581.0
G17_R1	18405967.0	1181621.0
G17_R2	18537195.0	1050393.0
GN0001_R1	10096821.0	2173039.0
GN0001_R2	10304368.0	1965492.0
GY0040_R1	8084640.0	2221491.0
GY0040_R2	8308750.0	1997381.0
IN0017_R1	5246049.0	1386047.0
IN0017_R2	5454603.0	1177493.0
IN0054_R1	9452698.0	2884878.0
IN0054_R2	9786052.0	2551524.0
IN0059_R1	4463091.0	1087020.0
IN0059_R2	4595576.0	954535.0
IN0114_R1	9113430.0	2696732.0
IN0114_R2	9399560.0	2410602.0
IN0115_R1	9989959.0	3183917.0
IN0115_R2	10413732.0	2760144.0
IN0116_R2	10392439.0	2927987.0
IR00102_R1	13292423.0	3663957.0
IR00102_R2	13674356.0	3282024.0
IR0013_R1	11936294.0	3161223.0
IR0013_R2	12405707.0	2691810.0
IR0015_R1	11071597.0	2921277.0
IR0015_R2	11442273.0	2550601.0
IR0083_R1	9418160.0	2024030.0
IR0083_R2	9651724.0	1790466.0
IR0084_R1	13667804.0	3811278.0
IR0084_R2	13993393.0	3485689.0
IR0088_R1	12944820.0	4904141.0
IR0088_R2	13484738.0	4364223.0
IR0095_R1	12166107.0	3597426.0
IR0095_R2	12536574.0	3226959.0
IT0010_R1	12615833.0	4163038.0
IT0010_R2	13161039.0	3617832.0
JP0091_R1	11371858.0	2892868.0
JP0091_R2	11691520.0	2573206.0
ML0060_R1	10893282.0	2785639.0
ML0060_R2	11134700.0	2544221.0
ML0062_R1	6989743.0	1986734.0
ML0062_R2	7220366.0	1756111.0
NG0012_R1	5677780.0	1428968.0
NG0012_R2	5843804.0	1262944.0
NG0054_R1	7403130.0	1939156.0
NG0054_R2	7668332.0	1673954.0
NP0058_R1	10235555.0	2537994.0
NP0058_R2	9760291.0	3013258.0
P28_R1	7939915.0	1039431.0
P28_R2	8038770.0	940576.0
P29_R1	8188785.0	1146595.0
P29_R2	8294775.0	1040605.0
P3_R1	13674484.0	2456280.0
P3_R2	14136766.0	1993998.0
PGPA_R1	18864302.0	2005372.0
PGPA_R2	19035530.0	1834144.0
PgKY_R1	14201919.0	1929942.0
PgKY_R2	14356272.0	1775589.0
Py0925_R1	24105661.0	2170683.0
Py0925_R2	24140084.0	2136260.0
Py36-1_R1	26458497.0	2661611.0
Py36-1_R2	26662890.0	2457218.0
Py5033_R2	19748740.0	1755117.0
Py510_R1	14755098.0	959743.0
Py510_R2	14737960.0	976881.0
Py6017_R1	16563618.0	1047838.0
Py6017_R2	16600412.0	1011044.0
Py6045_R1	20959897.0	1707325.0
Py6045_R2	20974187.0	1693035.0
Py86-1_R1	17824711.0	1794973.0
Py86-1_R2	17867481.0	1752203.0
SV9610_R1	6660749.0	980715.0
SV9610_R2	6756219.0	885245.0
SV9623_R1	6295925.0	1062774.0
SV9623_R2	6390359.0	968340.0
T25_R1	11677680.0	1552037.0
T25_R2	11754665.0	1475052.0
TG0004_R1	6328161.0	1508022.0
TG0004_R2	6483408.0	1352775.0
TG0032_R1	8974282.0	2564907.0
TG0032_R2	9331665.0	2207524.0
TN0001_R1	7080846.0	1950576.0
TN0001_R2	7301763.0	1729659.0
TN0002_R1	8447541.0	2586733.0
TN0002_R2	8774663.0	2259611.0
TN0050_R1	9355379.0	2280692.0
TN0050_R2	9651590.0	1984481.0
TN0057_R1	9059126.0	2673283.0
TN0057_R2	9430498.0	2301911.0
TN0065_R1	11118795.0	3583743.0
TN0065_R2	11655446.0	3047092.0
TN0090_R1	9055003.0	2556728.0
TN0090_R2	9417305.0	2194426.0
TR0025_R1	11483256.0	3171180.0
TR0025_R2	11869278.0	2785158.0
US0041_R1	6302815.0	1684655.0
US0041_R2	6497653.0	1489817.0
US0064_R1	11192726.0	3613260.0
US0064_R2	11603908.0	3202078.0
VT0027_R1	5675130.0	1609094.0
VT0027_R2	5865674.0	1418550.0
VT0030_R1	7289843.0	1930268.0
VT0030_R2	7502212.0	1717899.0
