Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
12-1-205_R1	20.288418089874398	47.0	151.0	0.0	7210324.0
12-1-205_R2	16.673461844412103	47.0	151.0	10.0	7210324.0
AG0004_R1	20.506049012775307	50.0	150.0	0.0	12555053.0
AG0004_R2	18.666467793625557	50.0	150.0	0.0	12555053.0
B2_R1	10.895297084002763	50.0	250.0	9.090909090909092	7996502.0
B2_R2	10.266952472203016	51.0	250.0	9.090909090909092	7996502.0
B51_R1	7.987555870611331	50.0	250.0	9.090909090909092	7090633.0
B51_R2	7.568594194286987	50.0	250.0	9.090909090909092	7090633.0
BF0072_R1	21.783039510091527	49.0	151.0	0.0	10064793.0
BF0072_R2	18.780012539431766	49.0	151.0	0.0	10064793.0
BN0019_R1	22.62713621348537	49.0	151.0	0.0	11867043.0
BN0019_R2	19.428957338894946	49.0	151.0	0.0	11867043.0
BN0119_R1	16.988520829902953	50.0	151.0	0.0	6622291.0
BN0119_R2	19.64683404310425	50.0	151.0	0.0	6622291.0
BN0123_R1	19.653950040030296	50.0	151.0	0.0	7919624.0
BN0123_R2	17.380438776878535	50.0	151.0	0.0	7919624.0
BN0202_R1	20.72912471442885	50.0	151.0	0.0	8606161.0
BN0202_R2	17.795583836721292	50.0	151.0	0.0	8606161.0
BN0252_R1	21.746442211114456	50.0	151.0	0.0	10841812.0
BN0252_R2	19.300639549639854	50.0	151.0	0.0	10841812.0
Br62_R1	4.95247033999415	50.0	98.95864025659343	0.0	12290260.0
Br62_R2	4.33235178086143	51.0	97.37259341950455	0.0	12290260.0
Br80_R1	20.68236382045646	49.0	255.55555344588788	9.090909090909092	5898770.0
Br80_R2	17.749915379980635	49.0	261.23363480861263	27.27272727272727	5898770.0
CD0065_R1	23.66291257477434	50.0	151.0	0.0	9942599.0
CD0065_R2	20.451455481716167	50.0	151.0	0.0	9942599.0
CD0142_R1	23.76510329414613	50.0	151.0	0.0	13576930.0
CD0142_R2	21.203752803282654	50.0	151.0	0.0	13576930.0
