Sample	Unique Reads	Duplicate Reads
12-1-205_R1_paired	3632416.0	768751.0
12-1-205_R2_paired	3733246.0	667921.0
AG0004_R1_paired	6052050.0	1219913.0
AG0004_R2_paired	6054482.0	1217481.0
B2_R1_paired	7076483.0	862045.0
B2_R2_paired	7119969.0	818559.0
B51_R1_paired	6480072.0	560017.0
B51_R2_paired	6506096.0	533993.0
BF0072_R1_paired	4665394.0	1062043.0
BF0072_R2_paired	4750335.0	977102.0
BN0019_R1_paired	5946292.0	1446875.0
BN0019_R2_paired	6120025.0	1273142.0
BN0119_R1_paired	3557822.0	625237.0
BN0119_R2_paired	3474699.0	708360.0
BN0123_R1_paired	4135191.0	811596.0
BN0123_R2_paired	4180189.0	766598.0
BN0202_R1_paired	4457527.0	957688.0
BN0202_R2_paired	4570421.0	844794.0
BN0252_R1_paired	6066493.0	1435452.0
BN0252_R2_paired	6216969.0	1284976.0
Br62_R1_paired	9062810.0	351087.0
Br62_R2_paired	9067114.0	346783.0
Br80_R1_paired	2849080.0	605524.0
Br80_R2_paired	2873554.0	581050.0
CD0065_R1_paired	5036788.0	1301686.0
CD0065_R2_paired	5205285.0	1133189.0
CD0142_R1_paired	7177607.0	1880523.0
CD0142_R2_paired	7397981.0	1660149.0
CH0043_R1_paired	7435683.0	1926733.0
CH0043_R2_paired	7656826.0	1705590.0
CH0072_R1_paired	5523746.0	1246075.0
CH0072_R2_paired	5651763.0	1118058.0
CH0452_R1_paired	4464796.0	810420.0
CH0452_R2_paired	4510768.0	764448.0
CH0461_R1_paired	6671169.0	1613789.0
CH0461_R2_paired	6872479.0	1412479.0
CH0533_R1_paired	4829349.0	918532.0
CH0533_R2_paired	4717356.0	1030525.0
CH1103_R1_paired	4117828.0	884920.0
CH1103_R2_paired	4220934.0	781814.0
CH1164_R1_paired	3523817.0	625414.0
CH1164_R2_paired	3611536.0	537695.0
CM0028_R1_paired	9800024.0	2751933.0
CM0028_R2_paired	10063514.0	2488443.0
EI9411_R1_paired	4420260.0	569551.0
EI9411_R2_paired	4444850.0	544961.0
EI9604_R1_paired	4064517.0	476144.0
EI9604_R2_paired	4089968.0	450693.0
FR1067_R1_paired	8192963.0	1775573.0
FR1067_R2_paired	8366948.0	1601588.0
FR1069_R1_paired	9281019.0	2032263.0
FR1069_R2_paired	9440919.0	1872363.0
G17_R1_paired	14533559.0	723114.0
G17_R2_paired	14551355.0	705318.0
GN0001_R1_paired	6646672.0	1195489.0
GN0001_R2_paired	6722477.0	1119684.0
GY0040_R1_paired	5464068.0	1302250.0
GY0040_R2_paired	5598275.0	1168043.0
IN0017_R1_paired	2971433.0	614172.0
IN0017_R2_paired	3023639.0	561966.0
IN0054_R1_paired	6316173.0	1628128.0
IN0054_R2_paired	6472595.0	1471706.0
IN0059_R1_paired	2977058.0	603792.0
IN0059_R2_paired	3060836.0	520014.0
IN0114_R1_paired	6085412.0	1477811.0
IN0114_R2_paired	6166475.0	1396748.0
IN0115_R1_paired	6700827.0	1818677.0
IN0115_R2_paired	6898511.0	1620993.0
IN0116_R1_paired	6294755.0	1737318.0
IN0116_R2_paired	6473140.0	1558933.0
IR00102_R1_paired	8904096.0	2054395.0
IR00102_R2_paired	9068616.0	1889875.0
IR0013_R1_paired	7304286.0	1637365.0
IR0013_R2_paired	7427033.0	1514618.0
IR0015_R1_paired	7172533.0	1610487.0
IR0015_R2_paired	7314841.0	1468179.0
IR0083_R1_paired	5912522.0	1078837.0
IR0083_R2_paired	6004627.0	986732.0
IR0084_R1_paired	8299105.0	1831427.0
IR0084_R2_paired	8291356.0	1839176.0
IR0088_R1_paired	8720838.0	2923995.0
IR0088_R2_paired	8935363.0	2709470.0
IR0095_R1_paired	8614128.0	2242254.0
IR0095_R2_paired	8771832.0	2084550.0
IT0010_R1_paired	8116133.0	2201543.0
IT0010_R2_paired	8298092.0	2019584.0
JP0091_R1_paired	7508996.0	1578997.0
JP0091_R2_paired	7624722.0	1463271.0
ML0060_R1_paired	6818307.0	1318081.0
ML0060_R2_paired	6797431.0	1338957.0
ML0062_R1_paired	4806373.0	1159729.0
ML0062_R2_paired	4929524.0	1036578.0
NG0012_R1_paired	3895090.0	827713.0
NG0012_R2_paired	4004866.0	717937.0
NG0054_R1_paired	4371150.0	904535.0
NG0054_R2_paired	4446915.0	828770.0
NP0058_R1_paired	6148252.0	1298249.0
NP0058_R2_paired	5962670.0	1483831.0
P28_R1_paired	7939866.0	1039423.0
P28_R2_paired	8038719.0	940570.0
P29_R1_paired	8188723.0	1146587.0
P29_R2_paired	8294713.0	1040597.0
P3_R1_paired	13674481.0	2456279.0
P3_R2_paired	14136762.0	1993998.0
PGPA_R1_paired	15038629.0	1379700.0
PGPA_R2_paired	15082142.0	1336187.0
PgKY_R1_paired	11612696.0	1267361.0
PgKY_R2_paired	11627939.0	1252118.0
Py0925_R1_paired	18184449.0	1232457.0
Py0925_R2_paired	18186755.0	1230151.0
