Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
12-1-205_R1_paired	12-1-205_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4401167.0	617.5 Mbp	0.0	36-151	47.0	82.5330140289192	140.41838698690597	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass	
12-1-205_R2_paired	12-1-205_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4401167.0	419.8 Mbp	0.0	36-151	47.0	84.82398665627406	95.4076898240853	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass	
AG0004_R1_paired	AG0004_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7271963.0	989 Mbp	0.0	36-150	49.0	83.22442016531653	135.95817484219873	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass
AG0004_R2_paired	AG0004_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7271963.0	814.2 Mbp	0.0	36-150	49.0	83.25786790577901	111.9296295924498	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass
B2_R1_paired	B2_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7938528.0	1.9 Gbp	0.0	36-250	50.0	89.14099247141539	249.70315542125695	pass	pass	pass	pass	warn	pass	warn	pass	pass	fail	pass
B2_R2_paired	B2_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7938528.0	1.9 Gbp	0.0	37-250	51.0	89.68877633825865	249.71420822600865	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail	pass
B51_R1_paired	B51_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7040089.0	1.7 Gbp	0.0	36-250	50.0	92.04530482612174	249.7058180656523	pass	pass	pass	pass	warn	pass	warn	pass	pass	fail	pass
B51_R2_paired	B51_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7040089.0	1.7 Gbp	0.0	37-250	50.0	92.41496683049884	249.7129763558387	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail	pass
BF0072_R1_paired	BF0072_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5727437.0	762.2 Mbp	0.0	36-151	49.0	81.4569169122661	133.13857873949553	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass	pass
BF0072_R2_paired	BF0072_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5727437.0	652.2 Mbp	0.0	36-151	49.0	82.93997527786891	113.92177425958592	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass	pass
BN0019_R1_paired	BN0019_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7393167.0	1 Gbp	0.0	36-151	49.0	80.42955173118352	145.06218377050052	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass	pass
BN0019_R2_paired	BN0019_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7393167.0	759 Mbp	0.0	36-151	49.0	82.77946453133073	102.70016435446406	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass	pass
BN0119_R1_paired	BN0119_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4183059.0	455.9 Mbp	0.0	36-151	49.0	85.05310184684727	109.04279045550159	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass
BN0119_R2_paired	BN0119_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4183059.0	606 Mbp	0.0	36-151	50.0	83.06596626294662	144.95811008164122	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass
BN0123_R1_paired	BN0123_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4946787.0	703.2 Mbp	0.0	36-151	50.0	83.5934599788446	142.2267617344349	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass
BN0123_R2_paired	BN0123_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4946787.0	548.1 Mbp	0.0	36-151	49.0	84.50309846640799	110.85695321023525	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass	pass
BN0202_R1_paired	BN0202_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5415215.0	786.9 Mbp	0.0	36-151	50.0	82.31486467196592	145.39259918581257	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass
BN0202_R2_paired	BN0202_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5415215.0	567.8 Mbp	0.0	36-151	49.0	84.39962180684645	104.90393382349546	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass
BN0252_R1_paired	BN0252_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7501945.0	1 Gbp	0.0	36-151	50.0	80.8656019087559	144.82674666369854	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass
BN0252_R2_paired	BN0252_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7501945.0	828.2 Mbp	0.0	36-151	50.0	82.87141616667371	110.44767083736285	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass
Br62_R1_paired	Br62_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9413897.0	890.1 Mbp	0.0	36-100	50.0	96.27053979073506	94.45054837544961	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass	pass
Br62_R2_paired	Br62_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9413897.0	853.3 Mbp	0.0	36-100	50.0	96.31625495010061	90.48893864039515	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass
Br80_R1_paired	Br80_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3454604.0	720 Mbp	0.0	36-300	49.0	82.47194883053983	207.46225732384957	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	pass
Br80_R2_paired	Br80_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3454604.0	526.7 Mbp	0.0	36-300	48.0	83.18041154947568	151.94229150432292	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass	fail
CD0065_R1_paired	CD0065_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6338474.0	917.6 Mbp	0.0	36-151	50.0	79.46371878533246	144.84892783341857	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass	pass
CD0065_R2_paired	CD0065_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6338474.0	676.9 Mbp	0.0	36-151	49.0	82.12204675427273	106.84757040890284	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass	pass
CD0142_R1_paired	CD0142_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9058130.0	1.3 Gbp	0.0	36-151	50.0	79.23938189762231	144.94662220568705	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass
CD0142_R2_paired	CD0142_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9058130.0	976.7 Mbp	0.0	36-151	50.0	81.67226605112513	107.87482924179714	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass
CH0043_R1_paired	CH0043_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9362416.0	1.3 Gbp	0.0	36-151	50.0	79.4205570944918	145.1247956723991	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass	pass
CH0043_R2_paired	CH0043_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9362416.0	987.7 Mbp	0.0	36-151	50.0	81.78257748906988	105.54370335605681	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass	pass
CH0072_R1_paired	CH0072_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6769821.0	975.6 Mbp	0.0	36-151	50.0	81.59366500100109	144.1893261284161	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass	pass
CH0072_R2_paired	CH0072_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6769821.0	734.4 Mbp	0.0	36-151	50.0	83.48466365046156	108.53309356333055	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass	pass
CH0452_R1_paired	CH0452_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5275216.0	750.4 Mbp	0.0	36-151	50.0	84.63720056264683	142.33508807980564	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass
CH0452_R2_paired	CH0452_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5275216.0	591.7 Mbp	0.0	36-151	50.0	85.5086712720671	112.23242820767908	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass
CH0461_R1_paired	CH0461_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8284958.0	1.2 Gbp	0.0	36-151	50.0	80.52145610832201	145.20985091294366	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass
CH0461_R2_paired	CH0461_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8284958.0	851.4 Mbp	0.0	36-151	50.0	82.95127591255998	102.80816462799208	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass
CH0533_R1_paired	CH0533_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5747881.0	631.9 Mbp	0.0	36-151	50.0	84.01962728059888	109.99608064258811	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass	pass
CH0533_R2_paired	CH0533_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5747881.0	831 Mbp	0.0	36-151	50.0	82.07120567842308	144.6574809047021	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass
CH1103_R1_paired	CH1103_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5002748.0	723.9 Mbp	0.0	36-151	50.0	82.31131006524595	144.78841068948506	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass
CH1103_R2_paired	CH1103_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5002748.0	546 Mbp	0.0	36-151	50.0	84.3723013059955	109.20339381475941	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass
CH1164_R1_paired	CH1164_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4149231.0	599.9 Mbp	0.0	36-151	50.0	84.92698771590992	144.66738896918488	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass	pass
CH1164_R2_paired	CH1164_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4149231.0	443.9 Mbp	0.0	36-151	50.0	87.0410807784459	107.05092437610729	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass	pass
CM0028_R1_paired	CM0028_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12551957.0	1.7 Gbp	0.0	36-150	50.0	78.07566177882335	141.84736388118603	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass
