Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
12-1-205_R1_paired	17.466985971080803	47.0	140.41838698690597	0.0	4401167.0
12-1-205_R2_paired	15.176013343725941	47.0	95.4076898240853	0.0	4401167.0
AG0004_R1_paired	16.77557983468347	49.0	135.95817484219873	0.0	7271963.0
AG0004_R2_paired	16.74213209422099	49.0	111.9296295924498	0.0	7271963.0
B2_R1_paired	10.859007528584613	50.0	249.70315542125695	9.090909090909092	7938528.0
B2_R2_paired	10.311223661741352	51.0	249.71420822600865	9.090909090909092	7938528.0
B51_R1_paired	7.954695173878264	50.0	249.7058180656523	9.090909090909092	7040089.0
B51_R2_paired	7.585033169501159	50.0	249.7129763558387	9.090909090909092	7040089.0
BF0072_R1_paired	18.543083087733905	49.0	133.13857873949553	0.0	5727437.0
BF0072_R2_paired	17.06002472213109	49.0	113.92177425958592	0.0	5727437.0
BN0019_R1_paired	19.570448268816477	49.0	145.06218377050052	0.0	7393167.0
BN0019_R2_paired	17.22053546866927	49.0	102.70016435446406	0.0	7393167.0
BN0119_R1_paired	14.94689815315273	49.0	109.04279045550159	0.0	4183059.0
BN0119_R2_paired	16.934033737053383	50.0	144.95811008164122	0.0	4183059.0
BN0123_R1_paired	16.406540021155394	50.0	142.2267617344349	0.0	4946787.0
BN0123_R2_paired	15.496901533592009	49.0	110.85695321023525	0.0	4946787.0
BN0202_R1_paired	17.68513532803408	50.0	145.39259918581257	0.0	5415215.0
BN0202_R2_paired	15.600378193153546	49.0	104.90393382349546	0.0	5415215.0
BN0252_R1_paired	19.134398091244094	50.0	144.82674666369854	0.0	7501945.0
BN0252_R2_paired	17.12858383332629	50.0	110.44767083736285	0.0	7501945.0
Br62_R1_paired	3.7294602092649427	50.0	94.45054837544961	0.0	9413897.0
Br62_R2_paired	3.683745049899386	50.0	90.48893864039515	0.0	9413897.0
Br80_R1_paired	17.52805116946017	49.0	207.46225732384957	9.090909090909092	3454604.0
Br80_R2_paired	16.81958845052432	48.0	151.94229150432292	18.181818181818183	3454604.0
