Isolate ID,Total Reads,Mapped Reads,Mapped (%),Unmapped Reads,Unmapped (%)
12-1-205,11413619,9204563,80.65,2209056,19.35
AG0004,19774843,17232030,87.14,2542813,12.86
B2,16189279,14134789,87.31,2054490,12.69
B51,14339063,12853913,89.64,1485150,10.36
BF0072,15898418,13216464,83.13,2681954,16.87
BN0019,19314739,16300965,84.4,3013774,15.6
BN0119,10980221,9766310,88.94,1213911,11.06
BN0123,12932543,11436160,88.43,1496383,11.57
BN0202,13883335,12399866,89.31,1483469,10.69
BN0252,18428838,16303764,88.47,2125074,11.53
Br48,16638200,14623742,87.89,2014458,12.11
Br58,637440,511982,80.32,125458,19.68
Br62,22270390,19276333,86.56,2994057,13.44
Br80,9672601,8440339,87.26,1232262,12.74
CD0065,16426191,14757203,89.84,1668988,10.16
CD0142,22970124,20388660,88.76,2581464,11.24
CH0043,23840372,21803548,91.46,2036824,8.54
CH0072,17726885,16388272,92.45,1338613,7.55
CH0452,13501432,12222725,90.53,1278707,9.47
CH0461,21529082,19829466,92.11,1699616,7.89
CH0533,14200364,12957048,91.24,1243316,8.76
CH1103,12688452,11597090,91.4,1091362,8.6
CH1164,10596940,9918287,93.6,678653,6.4
CM0028,32441818,28822179,88.84,3619639,11.16
EI9411,12395824,10273998,82.88,2121826,17.12
EI9604,11358564,9055395,79.72,2303169,20.28
FR1067,25571327,20663429,80.81,4907898,19.19
FR1069,29111821,23702225,81.42,5409596,18.58
G17,35702039,32689937,91.56,3012102,8.44
GFSI1-7-2,53307816,41285232,77.45,12022584,22.55
GN0001,20843205,17734187,85.08,3109018,14.92
GY0040,17479930,15087664,86.31,2392266,13.69
IN0017,10324580,9035179,87.51,1289401,12.49
IN0054,20644968,18420093,89.22,2224875,10.78
IN0059,9185673,8150122,88.73,1035551,11.27
IN0114,19563121,17302586,88.44,2260535,11.56
IN0115,21635666,19227424,88.87,2408242,11.13
IN0116,19949019,17687665,88.66,2261354,11.34
INA168,7800129,7324227,93.9,475902,6.1
IR00102,28502313,24530906,86.07,3971407,13.93
IR0013,24119637,20430653,84.71,3688984,15.29
IR0015,23145492,19672698,85,3472794,15
IR0083,18888848,16356942,86.6,2531906,13.4
IR0084,27585090,23114757,83.79,4470333,16.21
IR0088,29687982,24175538,81.43,5512444,18.57
IR0095,27007942,22585072,83.62,4422870,16.38
IT0010,27832785,24728975,88.85,3103810,11.15
JP0091,24169897,21357564,88.36,2812333,11.64
ML0060,21956682,19816242,90.25,2140440,9.75
ML0062,15156018,13742493,90.67,1413525,9.33
NG0012,11952645,10514393,87.97,1438252,12.03
NG0054,14876391,13235980,88.97,1640411,11.03
NP0058,20071484,18437335,91.86,1634149,8.14
P131,164441590,161341754,98.11,3099836,1.89
P28,18608408,15913999,85.52,2694409,14.48
P29,19225907,16549912,86.08,2675995,13.92
P3,32817914,29090642,88.64,3727272,11.36
PgKY,29857401,26225531,87.84,3631870,12.16
PGPA,38304125,32515697,84.89,5788428,15.11
Py0925,46329786,38539103,83.18,7790683,16.82
Py36-1,51266380,43928371,85.69,7338009,14.31
Py5033,876131,868625,99.14,7506,0.86
Py510,27825390,23516124,84.51,4309266,15.49
Py6017,31028389,25796591,83.14,5231798,16.86
Py6045,40334932,33856306,83.94,6478626,16.06
Py86-1,34699205,27932322,80.5,6766883,19.5
SV9610,12149232,10884360,89.59,1264872,10.41
SV9623,11696512,9899002,84.63,1797510,15.37
T25,26664498,24062236,90.24,2602262,9.76
TG0004,13212108,11881188,89.93,1330920,10.07
TG0032,18613597,16690045,89.67,1923552,10.33
TN0001,15245798,13450394,88.22,1795404,11.78
TN0002,18372962,16207555,88.21,2165407,11.79
TN0050,19352939,17664825,91.28,1688114,8.72
TN0057,19431832,17251011,88.78,2180821,11.22
TN0065,22895294,20098303,87.78,2796991,12.22
TN0090,18589546,16561700,89.09,2027846,10.91
TR0025,24720048,22788316,92.19,1931732,7.81
US0041,13580711,11992563,88.31,1588148,11.69
US0064,24735668,20805436,84.11,3930232,15.89
VT0027,12203969,10737980,87.99,1465989,12.01
VT0030,15616699,14051921,89.98,1564778,10.02
Z2-1,52007154,43342342,83.34,8664812,16.66
