Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
12-1-205_R1_paired	12-1-205_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5681543.0	829.7 Mbp	0.0	50-151	47.0	81.00627324663262	146.11407270876944	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass	
12-1-205_R2_paired	12-1-205_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5681543.0	671.6 Mbp	0.0	50-151	48.0	81.70061013850702	118.25353341513036	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass	
AG0004_R1_paired	AG0004_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9846289.0	1.4 Gbp	0.0	50-150	50.0	80.0080643926025	146.06592158731073	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass
AG0004_R2_paired	AG0004_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9846289.0	1.3 Gbp	0.0	50-150	50.0	80.38359939730564	132.51387969619825	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass
B2_R1_paired	B2_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7977972.0	1.9 Gbp	0.0	60-250	50.0	89.10827433367875	249.9916813445823	pass	pass	pass	pass	warn	pass	warn	pass	pass	fail	pass
B2_R2_paired	B2_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7977972.0	1.9 Gbp	0.0	50-250	51.0	89.73266563987859	249.72229521487415	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail	pass
B51_R1_paired	B51_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7074306.0	1.7 Gbp	0.0	54-250	50.0	92.01848421377007	249.99192585110114	pass	pass	pass	pass	warn	pass	warn	pass	pass	fail	pass
B51_R2_paired	B51_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7074306.0	1.7 Gbp	0.0	50-250	50.0	92.43102315015523	249.72206093431637	pass	pass	pass	warn	warn	pass	warn	pass	pass	fail	pass
BF0072_R1_paired	BF0072_R1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7902234.0	1.1 Gbp	0.0	50-151	49.0	79.56642309271464	144.3691810442465	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass	pass
BF0072_R2_paired	BF0072_R2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7902234.0	1 Gbp	0.0	50-151	49.0	79.85635273913417	133.16913976478045	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass	warn
