# This file was produced by bcftools stats (1.18+htslib-1.18) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  all_samples_snp_filtered.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	all_samples_snp_filtered.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	83
SN	0	number of records:	50928
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	50928
SN	0	number of MNPs:	0
SN	0	number of indels:	0
SN	0	number of others:	0
SN	0	number of multiallelic sites:	0
SN	0	number of multiallelic SNP sites:	0
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	44261	6667	6.64	44261	6667	6.64
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	5521	4669	852	0	0	0	0
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	5521	4669	852	0	0	0	0
AF	0	0.010000	255	213	42	0	0	0	0
AF	0	0.020000	1952	1715	237	0	0	0	0
AF	0	0.030000	2748	2365	383	0	0	0	0
AF	0	0.040000	3179	2806	373	0	0	0	0
AF	0	0.050000	2710	2408	302	0	0	0	0
AF	0	0.060000	2458	2207	251	0	0	0	0
AF	0	0.070000	2736	2388	348	0	0	0	0
AF	0	0.080000	2039	1793	246	0	0	0	0
AF	0	0.090000	2546	2213	333	0	0	0	0
AF	0	0.100000	1302	1155	147	0	0	0	0
AF	0	0.110000	1742	1524	218	0	0	0	0
AF	0	0.120000	1361	1189	172	0	0	0	0
AF	0	0.130000	1206	1064	142	0	0	0	0
AF	0	0.140000	1397	1220	177	0	0	0	0
AF	0	0.150000	944	817	127	0	0	0	0
AF	0	0.160000	1169	1005	164	0	0	0	0
AF	0	0.170000	690	610	80	0	0	0	0
AF	0	0.180000	839	739	100	0	0	0	0
AF	0	0.190000	887	773	114	0	0	0	0
AF	0	0.200000	535	477	58	0	0	0	0
AF	0	0.210000	563	496	67	0	0	0	0
AF	0	0.220000	632	547	85	0	0	0	0
AF	0	0.230000	413	366	47	0	0	0	0
AF	0	0.240000	899	786	113	0	0	0	0
AF	0	0.250000	201	177	24	0	0	0	0
AF	0	0.260000	303	261	42	0	0	0	0
