Sample	Unique Reads	Duplicate Reads
12-1-205_R1_paired	4602407.0	1079136.0
12-1-205_R2_paired	4641856.0	1039687.0
AG0004_R1_paired	7877826.0	1968463.0
AG0004_R2_paired	7914802.0	1931487.0
B2_R1_paired	7109034.0	868938.0
B2_R2_paired	7158847.0	819125.0
B51_R1_paired	6509670.0	564636.0
B51_R2_paired	6538854.0	535452.0
BF0072_R1_paired	6287525.0	1614709.0
BF0072_R2_paired	6310436.0	1591798.0
BN0019_R1_paired	7559667.0	2036613.0
BN0019_R2_paired	7612921.0	1983359.0
BN0119_R1_paired	4476060.0	984941.0
BN0119_R2_paired	4453142.0	1007859.0
BN0123_R1_paired	5224182.0	1207339.0
BN0123_R2_paired	5252119.0	1179402.0
BN0202_R1_paired	5572629.0	1336460.0
BN0202_R2_paired	5601577.0	1307512.0
BN0252_R1_paired	7283531.0	1883760.0
BN0252_R2_paired	7318097.0	1849194.0
Br48_R1_paired	6359796.0	1918967.0
Br48_R2_paired	6356800.0	1921963.0
Br58_R1_paired	311133.0	7282.0
Br58_R2_paired	311256.0	7159.0
Br62_R1_paired	10600790.0	509048.0
Br62_R2_paired	10625062.0	484776.0
Br80_R1_paired	3805288.0	991952.0
Br80_R2_paired	3849161.0	948079.0
CD0065_R1_paired	6343934.0	1822064.0
CD0065_R2_paired	6395019.0	1770979.0
CD0142_R1_paired	8846935.0	2586394.0
CD0142_R2_paired	8873718.0	2559611.0
CH0043_R1_paired	9237304.0	2639483.0
CH0043_R2_paired	9297193.0	2579594.0
CH0072_R1_paired	7052888.0	1779142.0
CH0072_R2_paired	7080987.0	1751043.0
CH0452_R1_paired	5537847.0	1179617.0
CH0452_R2_paired	5560769.0	1156695.0
CH0461_R1_paired	8420109.0	2302608.0
CH0461_R2_paired	8470213.0	2252504.0
CH0533_R1_paired	5721659.0	1342728.0
CH0533_R2_paired	5700164.0	1364223.0
CH1103_R1_paired	5110868.0	1209173.0
CH1103_R2_paired	5140446.0	1179595.0
CH1164_R1_paired	4402183.0	876247.0
CH1164_R2_paired	4421767.0	856663.0
CM0028_R1_paired	12279048.0	3865956.0
CM0028_R2_paired	12392094.0	3752910.0
EI9411_R1_paired	5400835.0	783596.0
EI9411_R2_paired	5392572.0	791859.0
EI9604_R1_paired	5012512.0	655941.0
EI9604_R2_paired	5015305.0	653148.0
FR1067_R1_paired	10257374.0	2471978.0
FR1067_R2_paired	10313055.0	2416297.0
FR1069_R1_paired	11625760.0	2863413.0
FR1069_R2_paired	11684382.0	2804791.0
G17_R1_paired	16800052.0	1014121.0
G17_R2_paired	16860753.0	953420.0
GFSI1-7-2_R1_paired	17827568.0	8803019.0
GFSI1-7-2_R2_paired	17952573.0	8678014.0
GN0001_R1_paired	8608309.0	1750678.0
GN0001_R2_paired	8621321.0	1737666.0
GY0040_R1_paired	6890513.0	1808150.0
GY0040_R2_paired	6931433.0	1767230.0
IN0017_R1_paired	4138509.0	997417.0
IN0017_R2_paired	4160122.0	975804.0
IN0054_R1_paired	7983610.0	2291089.0
IN0054_R2_paired	8015562.0	2259137.0
IN0059_R1_paired	3731517.0	837701.0
IN0059_R2_paired	3742398.0	826820.0
IN0114_R1_paired	7586938.0	2143696.0
IN0114_R2_paired	7628969.0	2101665.0
IN0115_R1_paired	8304986.0	2456872.0
IN0115_R2_paired	8359877.0	2401981.0
IN0116_R1_paired	7640015.0	2287344.0
IN0116_R2_paired	7671595.0	2255764.0
INA168_R1_paired	3482392.0	382394.0
INA168_R2_paired	3482163.0	382623.0
IR00102_R1_paired	11259074.0	2908295.0
IR00102_R2_paired	11310340.0	2857029.0
IR0013_R1_paired	9607516.0	2385942.0
IR0013_R2_paired	9648923.0	2344535.0
IR0015_R1_paired	9210381.0	2295033.0
IR0015_R2_paired	9262361.0	2243053.0
IR0083_R1_paired	7798586.0	1589824.0
IR0083_R2_paired	7831606.0	1556804.0
IR0084_R1_paired	10796793.0	2914713.0
IR0084_R2_paired	10848491.0	2863015.0
IR0088_R1_paired	10846187.0	3904416.0
IR0088_R2_paired	10908641.0	3841962.0
IR0095_R1_paired	10464272.0	2961541.0
IR0095_R2_paired	10519932.0	2905881.0
IT0010_R1_paired	10582359.0	3269024.0
IT0010_R2_paired	10679768.0	3171615.0
JP0091_R1_paired	9700295.0	2323072.0
JP0091_R2_paired	9741932.0	2281435.0
ML0060_R1_paired	8758759.0	2164791.0
ML0060_R2_paired	8801097.0	2122453.0
ML0062_R1_paired	5951104.0	1582090.0
ML0062_R2_paired	5979427.0	1553767.0
NG0012_R1_paired	4817059.0	1127799.0
NG0012_R2_paired	4842122.0	1102736.0
NG0054_R1_paired	5965196.0	1437892.0
NG0054_R2_paired	5994472.0	1408616.0
NP0058_R1_paired	7862969.0	2133386.0
NP0058_R2_paired	7808895.0	2187460.0
P131_R1_paired	18625643.0	55741953.0
P131_R2_paired	18583757.0	55783839.0
P28_R1_paired	7939915.0	1039431.0
P28_R2_paired	8038770.0	940576.0
P29_R1_paired	8188784.0	1146595.0
P29_R2_paired	8294774.0	1040605.0
P3_R1_paired	13674484.0	2456280.0
P3_R2_paired	14136766.0	1993998.0
PGPA_R1_paired	17385141.0	1724673.0
PGPA_R2_paired	17482605.0	1627209.0
PgKY_R1_paired	13188830.0	1706264.0
PgKY_R2_paired	13279515.0	1615579.0
Py0925_R1_paired	21324065.0	1788041.0
Py0925_R2_paired	21292009.0	1820097.0
